2020-09-21 15:30:36,075 - INFO - #####################################
2020-09-21 15:30:36,078 - INFO - ############Start Training###########
2020-09-21 15:30:36,078 - INFO - #####################################
2020-09-21 15:40:57,300 - INFO - Env 00, Goal (-03.3, -04.4), Episode 00048, setp 152, Reward 19.5 , Distance 009.9, Time out
2020-09-21 15:40:59,368 - INFO - Env 00, Goal (-00.1, 003.5), Episode 00049, setp 152, Reward 6.6  , Distance 008.4, Time out
2020-09-21 15:41:00,473 - INFO - Env 00, Goal (005.0, 006.4), Episode 00050, setp 089, Reward -4.4 , Distance 009.5, Crashed
2020-09-21 15:41:02,384 - INFO - Env 00, Goal (000.1, 000.9), Episode 00051, setp 152, Reward 8.6  , Distance 009.2, Time out
2020-09-21 15:41:02,893 - INFO - Env 00, Goal (007.7, -00.2), Episode 00052, setp 040, Reward -22.7, Distance 009.1, Crashed
2020-09-21 15:41:02,933 - INFO - Env 00, Goal (008.7, 001.9), Episode 00053, setp 002, Reward -15.0, Distance 008.2, Crashed
2020-09-21 15:41:04,855 - INFO - Env 00, Goal (002.9, 001.1), Episode 00054, setp 152, Reward 3.8  , Distance 008.9, Time out
2020-09-21 15:41:06,976 - INFO - Env 00, Goal (005.0, 003.9), Episode 00055, setp 152, Reward 6.6  , Distance 009.5, Time out
2020-09-21 15:41:07,997 - INFO - Env 00, Goal (003.2, -06.2), Episode 00056, setp 087, Reward -28.4, Distance 008.6, Crashed
2020-09-21 15:41:09,821 - INFO - Env 00, Goal (007.1, -01.9), Episode 00057, setp 152, Reward 6.8  , Distance 009.5, Time out
2020-09-21 15:41:11,670 - INFO - ########################## model saved when update 40 times#########################
2020-09-21 15:41:11,671 - INFO - Env 00, Goal (-03.4, 001.8), Episode 00058, setp 152, Reward 2.8  , Distance 009.7, Time out
2020-09-21 15:41:13,486 - INFO - Env 00, Goal (-08.2, -02.5), Episode 00059, setp 152, Reward 3.2  , Distance 008.3, Time out
2020-09-21 15:41:15,386 - INFO - Env 00, Goal (000.8, 000.7), Episode 00060, setp 152, Reward 3.5  , Distance 008.1, Time out
